,Unnamed: 0,permutations,route,distances
562,562,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['LAFY', '37.893176', '-122.124630'], dtype=object))",COLS -> LAFY,16.78
563,563,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['LAKE', '37.797027', '-122.265180'], dtype=object))",COLS -> LAKE,7.709
564,564,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['MCAR', '37.829065', '-122.267040'], dtype=object))",COLS -> MCAR,10.419
565,565,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['MLBR', '37.600271', '-122.386702'], dtype=object))",COLS -> MLBR,23.901999999999997
566,566,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['MLPT', '37.410277', '-121.891081'], dtype=object))",COLS -> MLPT,46.786
567,567,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['MONT', '37.789405', '-122.401066'], dtype=object))",COLS -> MONT,18.403
568,568,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['NBRK', '37.873967', '-122.283440'], dtype=object))",COLS -> NBRK,15.405
569,569,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['NCON', '38.003193', '-122.024653'], dtype=object))",COLS -> NCON,31.631999999999998
570,570,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['OAKL', '37.713238', '-122.212191'], dtype=object))",COLS -> OAKL,4.698
571,571,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['ORIN', '37.878361', '-122.183791'], dtype=object))",COLS -> ORIN,13.929
572,572,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['PITT', '38.018914', '-121.945154'], dtype=object))",COLS -> PITT,36.891
573,573,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['PCTR', '38.016941', '-121.889457'], dtype=object))",COLS -> PCTR,39.855
574,574,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['PHIL', '37.928468', '-122.056012'], dtype=object))",COLS -> PHIL,23.065
575,575,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['POWL', '37.784471', '-122.407974'], dtype=object))",COLS -> POWL,18.89
576,576,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['RICH', '37.936853', '-122.353099'], dtype=object))",COLS -> RICH,24.586
577,577,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['ROCK', '37.844702', '-122.251371'], dtype=object))",COLS -> ROCK,11.210999999999999
578,578,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['SBRN', '37.637761', '-122.416287'], dtype=object))",COLS -> SBRN,23.238000000000003
579,579,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['SFIA', '37.615966', '-122.392409'], dtype=object))",COLS -> SFIA,23.059
580,580,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['SANL', '37.721947', '-122.160844'], dtype=object))",COLS -> SANL,4.746
581,581,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['SHAY', '37.634375', '-122.057189'], dtype=object))",COLS -> SHAY,18.102999999999998
582,582,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['SSAN', '37.664245', '-122.443960'], dtype=object))",COLS -> SSAN,23.929000000000002
583,583,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['UCTY', '37.590630', '-122.017388'], dtype=object))",COLS -> UCTY,24.072
584,584,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['WCRK', '37.905522', '-122.067527'], dtype=object))",COLS -> WCRK,20.374000000000002
585,585,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['WARM', '37.502171', '-121.939313'], dtype=object))",COLS -> WARM,36.047
586,586,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['WDUB', '37.699756', '-121.928240'], dtype=object))",COLS -> WDUB,24.401
587,587,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['WOAK', '37.804872', '-122.295140'], dtype=object))",COLS -> WOAK,10.357000000000001
588,588,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['12TH', '37.803768', '-122.271450'], dtype=object))",COLM -> 12TH,21.676
589,589,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['16TH', '37.765062', '-122.419694'], dtype=object))",COLM -> 16TH,9.846
590,590,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['19TH', '37.808350', '-122.268602'], dtype=object))",COLM -> 19TH,22.186999999999998
591,591,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['24TH', '37.752470', '-122.418143'], dtype=object))",COLM -> 24TH,8.657
592,592,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['ANTC', '37.995388', '-121.780420'], dtype=object))",COLM -> ANTC,69.51
593,593,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['ASHB', '37.852803', '-122.270062'], dtype=object))",COLM -> ASHB,25.464000000000002
594,594,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['BALB', '37.721585', '-122.447506'], dtype=object))",COLM -> BALB,4.431
595,595,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['BAYF', '37.696924', '-122.126514'], dtype=object))",COLM -> BAYF,29.956999999999997
596,596,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['BERY', '37.368473', '-121.874681'], dtype=object))",COLM -> BERY,62.977
597,597,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['CAST', '37.690746', '-122.075602'], dtype=object))",COLM -> CAST,34.419000000000004
598,598,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['CIVC', '37.779732', '-122.414123'], dtype=object))",COLM -> CIVC,11.537
599,599,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['COLS', '37.753661', '-122.196869'], dtype=object))",COLM -> COLS,24.933000000000003
600,600,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['CONC', '37.973737', '-122.029095'], dtype=object))",COLM -> CONC,50.129
601,601,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['DALY', '37.706121', '-122.469081'], dtype=object))",COLM -> DALY,2.405
602,602,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['DBRK', '37.870104', '-122.268133'], dtype=object))",COLM -> DBRK,27.02
603,603,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['DUBL', '37.701687', '-121.899179'], dtype=object))",COLM -> DUBL,49.986000000000004
604,604,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['DELN', '37.925086', '-122.316794'], dtype=object))",COLM -> DELN,29.82
605,605,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['PLZA', '37.902632', '-122.298904'], dtype=object))",COLM -> PLZA,28.381999999999998
606,606,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['EMBR', '37.792874', '-122.397020'], dtype=object))",COLM -> EMBR,13.502
607,607,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['FRMT', '37.557465', '-121.976608'], dtype=object))",COLM -> FRMT,45.433
608,608,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['FTVL', '37.774836', '-122.224175'], dtype=object))",COLM -> FTVL,23.558000000000003
609,609,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['GLEN', '37.733064', '-122.433817'], dtype=object))",COLM -> GLEN,6.1
610,610,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['HAYW', '37.669723', '-122.087018'], dtype=object))",COLM -> HAYW,33.452
611,611,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['LAFY', '37.893176', '-122.124630'], dtype=object))",COLM -> LAFY,37.974000000000004
612,612,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['LAKE', '37.797027', '-122.265180'], dtype=object))",COLM -> LAKE,21.674
613,613,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['MCAR', '37.829065', '-122.267040'], dtype=object))",COLM -> MCAR,23.787
614,614,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['MLBR', '37.600271', '-122.386702'], dtype=object))",COLM -> MLBR,11.72
615,615,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['MLPT', '37.410277', '-121.891081'], dtype=object))",COLM -> MLPT,59.242
616,616,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['MONT', '37.789405', '-122.401066'], dtype=object))",COLM -> MONT,12.997
617,617,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['NBRK', '37.873967', '-122.283440'], dtype=object))",COLM -> NBRK,26.511
618,618,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['NCON', '38.003193', '-122.024653'], dtype=object))",COLM -> NCON,52.577
619,619,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['OAKL', '37.713238', '-122.212191'], dtype=object))",COLM -> OAKL,22.601
620,620,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['ORIN', '37.878361', '-122.183791'], dtype=object))",COLM -> ORIN,32.902
621,621,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['PITT', '38.018914', '-121.945154'], dtype=object))",COLM -> PITT,59.012
622,622,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['PCTR', '38.016941', '-121.889457'], dtype=object))",COLM -> PCTR,62.75899999999999
623,623,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['PHIL', '37.928468', '-122.056012'], dtype=object))",COLM -> PHIL,45.15
624,624,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['POWL', '37.784471', '-122.407974'], dtype=object))",COLM -> POWL,12.24
625,625,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['RICH', '37.936853', '-122.353099'], dtype=object))",COLM -> RICH,29.787
626,626,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['ROCK', '37.844702', '-122.251371'], dtype=object))",COLM -> ROCK,25.980999999999998
627,627,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['SBRN', '37.637761', '-122.416287'], dtype=object))",COLM -> SBRN,6.827000000000001
628,628,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['SFIA', '37.615966', '-122.392409'], dtype=object))",COLM -> SFIA,10.039
629,629,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['SANL', '37.721947', '-122.160844'], dtype=object))",COLM -> SANL,27.215999999999998
630,630,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['SHAY', '37.634375', '-122.057189'], dtype=object))",COLM -> SHAY,36.479
631,631,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['SSAN', '37.664245', '-122.443960'], dtype=object))",COLM -> SSAN,3.0010000000000003
632,632,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['UCTY', '37.590630', '-122.017388'], dtype=object))",COLM -> UCTY,40.927
633,633,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['WCRK', '37.905522', '-122.067527'], dtype=object))",COLM -> WCRK,42.833
634,634,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['WARM', '37.502171', '-121.939313'], dtype=object))",COLM -> WARM,50.722
635,635,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['WDUB', '37.699756', '-121.928240'], dtype=object))",COLM -> WDUB,47.42
636,636,"(array(['COLM', '37.684638', '-122.466233'], dtype=object), array(['WOAK', '37.804872', '-122.295140'], dtype=object))",COLM -> WOAK,20.148
637,637,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['12TH', '37.803768', '-122.271450'], dtype=object))",CONC -> 12TH,28.484
638,638,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['16TH', '37.765062', '-122.419694'], dtype=object))",CONC -> 16TH,41.446000000000005
639,639,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['19TH', '37.808350', '-122.268602'], dtype=object))",CONC -> 19TH,27.959
640,640,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['24TH', '37.752470', '-122.418143'], dtype=object))",CONC -> 24TH,42.14
641,641,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['ANTC', '37.995388', '-121.780420'], dtype=object))",CONC -> ANTC,21.951
642,642,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['ASHB', '37.852803', '-122.270062'], dtype=object))",CONC -> ASHB,25.081999999999997
643,643,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['BALB', '37.721585', '-122.447506'], dtype=object))",CONC -> BALB,46.266999999999996
644,644,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['BAYF', '37.696924', '-122.126514'], dtype=object))",CONC -> BAYF,31.983
645,645,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['BERY', '37.368473', '-121.874681'], dtype=object))",CONC -> BERY,68.738
646,646,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['CAST', '37.690746', '-122.075602'], dtype=object))",CONC -> CAST,31.767
647,647,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['CIVC', '37.779732', '-122.414123'], dtype=object))",CONC -> CIVC,40.137
648,648,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['COLS', '37.753661', '-122.196869'], dtype=object))",CONC -> COLS,28.594
649,649,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['COLM', '37.684638', '-122.466233'], dtype=object))",CONC -> COLM,50.129
650,650,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['DALY', '37.706121', '-122.469081'], dtype=object))",CONC -> DALY,48.821999999999996
651,651,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['DBRK', '37.870104', '-122.268133'], dtype=object))",CONC -> DBRK,23.951999999999998
652,652,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['DUBL', '37.701687', '-121.899179'], dtype=object))",CONC -> DUBL,32.367
653,653,"(array(['CONC', '37.973737', '-122.029095'], dtype=object), array(['DELN', '37.925086', '-122.316794'], dtype=object))",CONC -> DELN,25.829
